注文時刻,注文内容,年代,お住まいの地域,"所属(学校名または会社名)
 ※所属が無い方は「無し」とご記入ください。",属性（最も当てはまるものを一つ選択してください）,イベントを知ったきっかけ,Club 2026に期待することをご選択ください。
2026-04-09T20:28:02+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,新しい知識や価値観の習得"
2026-04-09T22:08:48+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋経済大学市邨高等学校,高校生,所属校・会社からの紹介,新しい知識や価値観の習得
2026-04-09T23:59:59+09:00,社会人【アフターパーティー無】_1,50代,愛知県,盟和精工株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-10T00:01:07+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ"
2026-04-10T00:32:43+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,HAL名古屋,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-04-10T01:00:17+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知学院大学,大学生・大学院生,スタッフからの紹介,"ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流"
2026-04-10T10:04:53+09:00,社会人【アフターパーティー無】_1,50代,愛知県,名古屋経済大学市邨高校,社会人,所属校・会社からの紹介,登壇者によるトークセッション
2026-04-10T14:56:37+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-10T16:11:55+09:00,大学生・大学院生【アフターパーティー有】_1,20代,静岡県,静岡県立大学,大学生・大学院生,登壇者・出展者からの紹介,参加者との交流
2026-04-10T17:35:02+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋経済大学市邨高等学校,高校生,所属校・会社からの紹介,登壇者によるトークセッション
2026-04-10T18:19:38+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,無し,大学生・大学院生,登壇者・出展者からの紹介,参加者との交流
2026-04-10T18:48:31+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋経済大学市邨高等学校,高校生,その他,"参加者との交流,新しい知識や価値観の習得"
2026-04-10T20:18:34+09:00,高校生以下【アフターパーティー無】_1,10代,岐阜県,岐阜北高校,高校生,その他,登壇者によるトークセッション
2026-04-10T20:56:42+09:00,社会人【アフターパーティー有】_1,50代,三重県,株式会社デンソー,社会人,"Club Instagram,Club Facebook","登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-10T21:54:59+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,参加者との交流
2026-04-11T09:10:35+09:00,社会人【アフターパーティー有】_1,50代,神奈川県,無し,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-11T09:47:33+09:00,社会人【アフターパーティー有】_1,40代,愛知県,株式会社Dragon Brewing,社会人,登壇者・出展者からの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流"
2026-04-11T10:54:33+09:00,大学生・大学院生【アフターパーティー無】_1,10代,三重県,三重大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ストリーム),新しい知識や価値観の習得"
2026-04-11T10:58:37+09:00,社会人【アフターパーティー無】_1,20代,愛知県,無し,社会人,その他,新しい知識や価値観の習得
2026-04-11T12:13:31+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,愛知県立阿久比高等学校,高校生,"Club ホームページ・メール,Club以外の各種SNS媒体","登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ストリーム),新しい知識や価値観の習得"
2026-04-11T12:21:20+09:00,社会人【アフターパーティー無】_1,40代,愛知県,無し,社会人,Club以外の各種SNS媒体,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),新しい知識や価値観の習得"
2026-04-11T12:33:17+09:00,社会人【アフターパーティー有】_1,50代,三重県,トヨタ自動車（株）,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー"
2026-04-11T13:49:39+09:00,大学生・大学院生【アフターパーティー有】_1,20代,三重県,南山大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,参加者との交流"
2026-04-11T19:17:35+09:00,大学生・大学院生【アフターパーティー有】_1,10代,大阪府,関西大学,大学生・大学院生,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-11T19:44:22+09:00,大学生・大学院生【アフターパーティー有】_1,20代,静岡県,浜松医科大学医学部医学科,大学生・大学院生,登壇者・出展者からの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流"
2026-04-11T22:11:57+09:00,社会人【アフターパーティー無】_1,40代,愛知県,教育関係,社会人,Club Instagram,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-12T08:22:27+09:00,社会人【アフターパーティー有】_1,50代,愛知県,株式会社ミツカン,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流"
2026-04-12T12:13:36+09:00,社会人【アフターパーティー有】_1,30代,愛知県,TCD,社会人,スタッフからの紹介,"ワークショップ,参加者との交流,新しい知識や価値観の習得"
2026-04-12T12:17:48+09:00,社会人【アフターパーティー無】_1,40代,愛知県,豊通ケミプラス株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-12T15:56:59+09:00,社会人【アフターパーティー無】_1,30代,愛知県,無し,社会人,スタッフからの紹介,新しい知識や価値観の習得
2026-04-12T19:23:58+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,中部大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-12T20:35:02+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋市立北高等学校,高校生,Club以外の各種SNS媒体,新しい知識や価値観の習得
2026-04-12T20:48:16+09:00,社会人【アフターパーティー無】_1,50代,富山県,無し,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-12T22:30:56+09:00,社会人【アフターパーティー有】_1,20代,愛知県,株式会社インサイトリード,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-12T22:42:16+09:00,社会人【アフターパーティー無】_1,30代,愛知県,重機商工,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-12T22:45:12+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知県立大学,大学生・大学院生,その他,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-04-12T23:42:46+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知県立大学,大学生・大学院生,Club Instagram,"アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-13T05:35:06+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,中京大学,大学生・大学院生,Club以外の各種SNS媒体,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流"
2026-04-13T07:48:52+09:00,高校生以下【アフターパーティー有】_1,10代,三重県,三重県立津高等学校,高校生,Club ホームページ・メール,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-04-13T10:32:01+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,その他,新しい知識や価値観の習得
2026-04-13T12:45:10+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知学院大学,大学生・大学院生,スタッフからの紹介,"ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-13T13:13:32+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,その他,登壇者によるトークセッション
2026-04-13T14:53:14+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,四日市看護医療大学,大学生・大学院生,スタッフからの紹介,ディスカバリーセッション(ブレイク)
2026-04-13T15:27:56+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,"アフターパーティー,参加者との交流"
2026-04-13T16:49:23+09:00,社会人【アフターパーティー有】_1,50代,愛知県,水辺とまちの入口ACT株式会社,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-04-13T19:38:51+09:00,社会人【アフターパーティー無】_1,40代,徳島県,無し,社会人,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-13T21:19:14+09:00,社会人【アフターパーティー有】_1,30代,愛知県,特定非営利活動法人 Grow & Leap,社会人,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-13T22:35:11+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,愛知県立明和高校,高校生,所属校・会社からの紹介,登壇者によるトークセッション
2026-04-14T12:13:01+09:00,社会人【アフターパーティー有】_1,60代以上,愛知県,椙山女学園中学校・高等学校,社会人,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),参加者との交流,新しい知識や価値観の習得"
2026-04-14T12:47:39+09:00,社会人【アフターパーティー有】_1,20代,愛知県,無し,社会人,Club Instagram,"参加者との交流,新しい知識や価値観の習得"
2026-04-14T13:22:22+09:00,大学生・大学院生【アフターパーティー無】_1,20代,岐阜県,名古屋市立大学,大学生・大学院生,スタッフからの紹介,参加者との交流
2026-04-14T13:29:47+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋市立大学,大学生・大学院生,スタッフからの紹介,アフターパーティー
2026-04-14T13:50:17+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-14T14:07:47+09:00,大学生・大学院生【アフターパーティー無】_1,20代,東京都,東京都立大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-14T17:14:28+09:00,大学生・大学院生【アフターパーティー無】_1,20代,静岡県,常葉大学,大学生・大学院生,その他,新しい知識や価値観の習得
2026-04-14T18:18:30+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,金城学院大学,大学生・大学院生,Club Instagram,"ワークショップ,ディスカバリーセッション(ブレイク),参加者との交流"
2026-04-14T21:03:43+09:00,大学生・大学院生【アフターパーティー無】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-04-14T21:32:00+09:00,社会人【アフターパーティー無】_1,40代,愛知県,なし,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-04-14T22:24:35+09:00,社会人【アフターパーティー有】_1,50代,愛知県,無し,社会人,スタッフからの紹介,新しい知識や価値観の習得
2026-04-14T22:35:52+09:00,社会人【アフターパーティー有】_1,50代,愛知県,岡谷サービス&ホームズ株式会社,社会人,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー"
2026-04-14T23:30:10+09:00,大学生・大学院生【アフターパーティー有】_1,20代,三重県,皇学館大学,大学生・大学院生,"Club ホームページ・メール,Club Instagram,スタッフからの紹介","登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-04-14T23:56:31+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,"ワークショップ,アフターパーティー,参加者との交流"
2026-04-15T09:11:36+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学大学院,大学生・大学院生,その他,"参加者との交流,新しい知識や価値観の習得"
2026-04-15T10:29:06+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,"ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流"
2026-04-15T10:57:41+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,愛知工業大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-04-15T11:11:39+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
