注文ID,注文時刻,注文内容,イベントID,イベントタイトル,チケットNo.,年代,"フリーフォーム1 所属(学校名または会社名)
 
 ※所属が無い方は「無し」とご記入ください。",オプション1 イベントを知ったきっかけ,オプション2 Club 2025に期待することをご選択ください。,オプション3 属性(最も当てはまるもの一つを選択してください),,
0214D0F9SXS0K,2025-04-06T19:42:46+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-30,40代,無し,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214D0I3G8KhN,2025-04-06T20:37:03+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-4,10代,中京大中京高等学校,Club Instagram,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",高校生,,
0214D0SFGNFM1,2025-04-06T23:17:47+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-45,20代,神奈川大学,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D0VDZhAMB,2025-04-07T00:14:44+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-31,50代,株式会社求人 代表取締役,登壇者・出展者からの紹介,"登壇者によるトークセッション,アフターパーティー",社会人,,
0214D1J1JX15M,2025-04-07T07:51:06+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-10,10代,聖学院高等学校,その他,登壇者によるトークセッション,高校生,,
0214D1TJ6M7S0,2025-04-07T10:34:39+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-20,40代,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214D1U4P7MBP,2025-04-07T10:45:23+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-32,30代,合同会社XENCE （IdeaStoaスタッフ）,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214D1U8ZNQA0,2025-04-07T10:48:06+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-21,50代,自営業,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214D2CZ56ZYT,2025-04-07T16:48:14+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-46,10代,名古屋大学,"登壇者・出展者からの紹介,その他","参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D2QBXVSC3,2025-04-07T20:27:28+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-14,20代,金城学院大学,Club Instagram,登壇者によるトークセッション,大学生大学院生,,
0214D2QEZYEAC,2025-04-07T20:29:10+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-22,20代,名古屋市立名古屋商業高等学校教諭,登壇者・出展者からの紹介,ディスカバリーセッション(ワークショップ),社会人,,
0214D2QMUhTh4,2025-04-07T20:33:03+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-33,20代,名古屋市立港明中学校,登壇者・出展者からの紹介,ディスカバリーセッション(ワークショップ),社会人,,
0214D2RIFNNBT,2025-04-07T20:50:20+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-15,20代,金城学院大学,その他,新しい知識や価値観の習得,大学生大学院生,,
0214D2W0J66CY,2025-04-07T22:16:47+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-34,40代,無し,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214D2W79DGIK,2025-04-07T22:20:51+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-11,10代,聖マリア女学院中学校,その他,参加者との交流,中学生以下,,
0214D2Y5KP6J8,2025-04-07T22:58:16+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-47,10代,駒澤大学,登壇者・出展者からの紹介,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D2ZSTGX1J,2025-04-07T23:29:22+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-35,20代,無し,Club Instagram,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー",社会人,,
0214D31EGUKW4,2025-04-08T00:01:17+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-16,10代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214D31GCTS47,2025-04-08T00:02:02+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-36,60代以上,ジオ・とよくら技術士事務所,"Club以外のSNS,その他","登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214D3W57CGMW,2025-04-08T09:14:22+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-5,10代,麗澤瑞浪高等学校\r\n学生団体ivote,登壇者・出展者からの紹介,"参加者との交流,新しい知識や価値観の習得",高校生,,
0214D4EV5ADFP,2025-04-08T15:14:40+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-48,20代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214D4F9SNFTV,2025-04-08T15:22:54+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-6,10代,中京大学附属中京高等学校,Club X,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",高校生,,
0214D4M6XMSY0,2025-04-08T17:16:52+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-17,10代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214D4PR7M2B1,2025-04-08T18:05:58+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-37,30代,ASTRO GATE株式会社,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流",社会人,,
0214D4T3W7IR5,2025-04-08T19:11:12+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-12,10代,長岡工業高等専門学校,"Club Instagram,Club ホームページ,その他","登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",高校生,,
0214D4YAEEP8A,2025-04-08T20:50:47+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-23,40代,無し,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ)",社会人,,
0214D51XWIU98,2025-04-08T22:00:55+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-50,20代,岐阜大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214D55Rh6YZ6,2025-04-08T23:14:12+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-51,20代,名古屋大学,その他,ディスカバリーセッション(ワークショップ),大学生大学院生,,
0214D66WEPZPY,2025-04-09T10:31:18+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-38,40代,TOIC NAGOYA,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214D6CJ1AFJh,2025-04-09T12:20:32+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-52,20代,椙山女学園大学,Club Instagram,"ディスカバリーセッション(ワークショップ),参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D6FSRDF1V,2025-04-09T13:22:41+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-18,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214D6MY37SGM,2025-04-09T15:21:14+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-19,20代,名古屋大学,"所属校・会社からの紹介,登壇者・出展者からの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214D6V63B601,2025-04-09T17:40:41+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-39,20代,名古屋大学/NPO法人Grow & Leap,スタッフからの紹介,"ディスカバリーセッション(ワークショップ),参加者との交流",大学生大学院生,,
0214D6XW2TQRF,2025-04-09T18:32:46+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-40,30代,NPO法人Grow&Leap,スタッフからの紹介,参加者との交流,社会人,,
0214D72h176X2,2025-04-09T20:01:52+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-13,10代,名古屋国際高校 バカロレア,Club Instagram,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",高校生,,
0214D7555M40X,2025-04-09T20:53:05+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-53,20代,名古屋大学,登壇者・出展者からの紹介,"アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214D75SSI1Y6,2025-04-09T21:05:15+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-14,10代,岐阜市立境川中学校,Club Instagram,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",中学生以下,,
0214D76XQ5QJY,2025-04-09T21:27:05+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-7,10代,愛知高等学校,所属校・会社からの紹介,登壇者によるトークセッション,高校生,,
0214D795K7D68,2025-04-09T22:10:09+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-8,10代,無し,所属校・会社からの紹介,ディスカバリーセッション(ワークショップ),中学生以下,,
0214D79C9I21T,2025-04-09T22:14:08+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-54,10代,名城大学,登壇者・出展者からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214D7AW9AZhN,2025-04-09T22:43:30+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-41,20代,無し,スタッフからの紹介,アフターパーティー,社会人,,
0214D90N3CGM4,2025-04-10T17:16:19+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-55,20代,南山大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214D91C18G5Y,2025-04-10T17:30:02+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-20,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214D94UAMFUX,2025-04-10T18:36:50+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-56,10代,中京大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214D99YhF8R0,2025-04-10T20:15:56+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-57,10代,名城大学,その他,新しい知識や価値観の習得,大学生大学院生,,
0214D9J05UAW8,2025-04-10T23:10:11+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-42,30代,愛知県医療療育総合センター中央病院,Club Facebook,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214D9JCTG7J1,2025-04-10T23:17:02+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-58,30代,株式会社Yuimedi,その他,新しい知識や価値観の習得,社会人,,
0214D9QWVTM8P,2025-04-11T01:03:41+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-21,10代,横浜国立大,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214D9SATSAZW,2025-04-11T01:31:03+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-15,10代,愛知総合工科高校,その他,新しい知識や価値観の習得,高校生,,
0214DAKQZ4JK7,2025-04-11T10:38:31+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-59,20代,南山大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク),参加者との交流",大学生大学院生,,
0214DATD3INEY,2025-04-11T12:46:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-60,20代,東海SIVIO,スタッフからの紹介,アフターパーティー,大学生大学院生,,
0214DAYD4BM51,2025-04-11T14:23:01+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-9,10代,長久手市立南小学校,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",中学生以下,,
0214DB27FTEPF,2025-04-11T15:37:10+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-24,60代以上,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214DB4DXGJFJ,2025-04-11T16:18:48+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-25,60代以上,無し,スタッフからの紹介,新しい知識や価値観の習得,社会人,,
0214DB65D4GI9,2025-04-11T16:52:43+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-61,20代,南山大学,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DB6X0JWS8,2025-04-11T17:06:57+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-22,10代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DBC7FDNRW,2025-04-11T18:50:01+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-44,20代,無し,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DBF38597R,2025-04-11T19:44:38+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-10,30代,オークマ株式会社,その他,"登壇者によるトークセッション,参加者との交流",社会人,,
0214DBF8VDWA6,2025-04-11T19:47:50+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-23,10代,愛知工業大学,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214DBIA2MNUE,2025-04-11T20:46:46+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-62,10代,名城大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DBIDTG5DN,2025-04-11T20:48:25+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-45,50代,トヨタ自動車（株）,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DBJ1490YT,2025-04-11T21:01:15+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-11,10代,N高等学校,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",高校生,,
0214DBJIESPE3,2025-04-11T21:10:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-63,20代,名古屋大学,Club Instagram,新しい知識や価値観の習得,大学生大学院生,,
0214DBKUWUJJ8,2025-04-11T21:35:33+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-64,20代,名古屋大学,その他,新しい知識や価値観の習得,大学生大学院生,,
0214DBM26GAM4,2025-04-11T21:40:00+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-46,60代以上,イビデン株式会社,Club Instagram,"登壇者によるトークセッション,アフターパーティー",社会人,,
0214DBQA3CS53,2025-04-11T22:42:13+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-65,20代,椙山女学園大学,Club Instagram,"ディスカバリーセッション(ワークショップ),参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DC4WM53CB,2025-04-12T03:23:24+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-47,50代,株式会社デンソー,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DCh5ZGUT7,2025-04-12T07:19:55+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-66,20代,名城大学,"Club Instagram,スタッフからの紹介","アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DCIXED82A,2025-04-12T07:53:32+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-26,40代,中部電力株式会社,Club Facebook,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DCTU0UIR5,2025-04-12T10:44:58+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-48,30代,株式会社リクルート,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流",社会人,,
0214DD5hU66X1,2025-04-12T14:32:34+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-67,10代,三重大学,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ)",大学生大学院生,,
0214DD8RC8V3C,2025-04-12T15:32:26+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-12,10代,刈谷高校,スタッフからの紹介,アフターパーティー,高校生,,
0214DDD1EG2E0,2025-04-12T16:55:14+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-24,30代,早稲田大学大学院,その他,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DDDUZVFWV,2025-04-12T17:10:51+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-13,10代,刈谷高校,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214DDhhUGVSC,2025-04-12T18:22:17+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-14,10代,椙山女学園,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",高校生,,
0214DDhUK6S05,2025-04-12T18:27:45+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-25,10代,愛知淑徳大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DDPChDYZC,2025-04-12T20:14:13+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-15,10代,刈谷高校,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),新しい知識や価値観の習得",高校生,遅刻します。,
0214DDRG6TT2D,2025-04-12T20:54:50+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-16,10代,旭野高校,その他,登壇者によるトークセッション,高校生,,
0214DDUhShAP8,2025-04-12T21:54:05+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-27,50代,無し,スタッフからの紹介,新しい知識や価値観の習得,社会人,,
0214DE2I876FQ,2025-04-13T00:27:51+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-49,40代,BluE Nexus,"Club Facebook,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),新しい知識や価値観の習得",社会人,,
0214DE96UJVWV,2025-04-13T02:36:25+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-28,50代,なし,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),新しい知識や価値観の習得",社会人,,
0214DEWJIQTVK,2025-04-13T09:28:06+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-68,10代,名古屋大学教育学部,その他,登壇者によるトークセッション,大学生大学院生,,
0214DF0JKGGC0,2025-04-13T10:45:29+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-69,20代,名古屋市立大学,所属校・会社からの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DF21YVUE8,2025-04-13T11:13:49+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-29,50代,伊藤光学工業（株）,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DFVIFNGEI,2025-04-13T20:03:27+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-70,20代,関西学院大学,その他,新しい知識や価値観の習得,大学生大学院生,,
0214DFW33BW1Q,2025-04-13T20:13:58+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-30,60代以上,オイスカ,Club Facebook,登壇者によるトークセッション,社会人,,
0214DFZJ5EFVE,2025-04-13T21:20:52+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-31,50代,会社員,その他,登壇者によるトークセッション,社会人,,
0214DG8DKFAAB,2025-04-14T00:11:37+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-32,40代,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214DG8IXWPR5,2025-04-14T00:14:05+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-17,10代,大成高等学校,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",高校生,,
0214DG951PhT7,2025-04-14T00:25:23+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-71,20代,南山大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DG9U3B9hD,2025-04-14T00:38:27+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-72,10代,中京大学,その他,"ディスカバリーセッション(ワークショップ),アフターパーティー",大学生大学院生,,
0214DGATQFRAS,2025-04-14T00:57:54+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-26,10代,静岡福祉医療専門学校,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214Dh4S3MJJY,2025-04-14T09:56:12+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-73,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214Dh5BVBNEY,2025-04-14T10:07:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-74,20代,北海道医療大学,Club Instagram,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),新しい知識や価値観の習得",大学生大学院生,,
0214DhQX9DYF6,2025-04-14T16:24:20+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-18,10代,岐阜県立多治見北高校,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",高校生,,
0214DhS2T940M,2025-04-14T16:46:42+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-75,20代,愛知学院大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DhS9DF5C7,2025-04-14T16:50:28+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-76,10代,愛知学院大学,スタッフからの紹介,アフターパーティー,大学生大学院生,,
0214DhSE9FB6I,2025-04-14T16:53:13+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-77,10代,愛知学院大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DhUK3U18h,2025-04-14T17:35:09+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-19,10代,東海学園高等学校,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214DhVF4KF6P,2025-04-14T17:51:48+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-33,20代,なし,その他,新しい知識や価値観の習得,社会人,,
0214DhVGIEXh6,2025-04-14T17:52:22+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-50,40代,株式会社デンソー,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DhXP9PSYG,2025-04-14T18:34:53+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-78,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ブレイク)",大学生大学院生,,
0214DI1E0BG6G,2025-04-14T19:46:37+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-79,10代,南山大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DIAK07YCT,2025-04-14T22:43:23+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-27,20代,名古屋大学,その他,新しい知識や価値観の習得,大学生大学院生,,
0214DIC9CWMAK,2025-04-14T23:15:58+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-34,10代,日東工業,"スタッフからの紹介,登壇者・出展者からの紹介,その他",登壇者によるトークセッション,社会人,,
0214DIGKKMZWE,2025-04-15T00:39:32+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-80,10代,三重大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DJFDZPJF4,2025-04-15T11:11:18+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-51,40代,MPC,Club Facebook,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DJh5NIhKC,2025-04-15T11:45:20+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-81,20代,名古屋外国語大学,Club Instagram,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DJXRFM7T4,2025-04-15T16:26:00+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-36,20代,株式会社Johso,スタッフからの紹介,参加者との交流,社会人,,
0214DKG3I6XQT,2025-04-15T22:19:41+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-16,10代,刈谷高校,スタッフからの紹介,"アフターパーティー,参加者との交流",高校生,,
0214DKGTBJQA4,2025-04-15T22:33:11+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-37,50代,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214DKhQNP3XA,2025-04-15T22:51:07+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-38,10代,無し,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DKNE4NKYE,2025-04-16T00:22:01+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-83,20代,愛知淑徳大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DKXMVR0T2,2025-04-16T03:19:29+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-28,50代,京都芸術大学,所属校・会社からの紹介,登壇者によるトークセッション,"大学生大学院生,社会人",,
0214DM7T8MA9B,2025-04-16T06:35:11+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-39,40代,名古屋大学,Club X,登壇者によるトークセッション,社会人,,
0214DMA8XFYW4,2025-04-16T07:22:16+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-40,40代,無し,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214DMDEXh26I,2025-04-16T08:23:29+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-29,20代,名古屋大学,Club Instagram,登壇者によるトークセッション,大学生大学院生,,
0214DMJQC57XJ,2025-04-16T10:24:30+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-84,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
